title,author,publisher,ISBN,category,date,pages,price,discount_price
«αθανασία» Βίος και πολιτεία μιας αγιότητας,ΜΑΪΣΤΡΑΛΗ Ν.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-561-5,Ελληνική Λογοτεχνία,Φλεβάρης 2026,128,11.00€ , 9.90€
Από το μεσαιωνικό πανεπιστήμιο στο πανεπιστήμιο της αγοράς. Ένα οδοιπορικό από την αρχή έως το τέλος (;) του Πανεπιστημίου,ΤΡΙΜΠΕΡΗΣ Γ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-560-8,Πολιτική & Κοινωνία,Φλεβάρης 2026,400,19.00€ , 17.10€
ΓΙΑΝΝΗΣ ΡΙΤΣΟΣ – ΓΙΑΝΝΗΣ ΣΤΕΦΑΝΙΔΗΣ – ΚΟΝΤΟΠΟΥΛΙ ΛΗΜΝΟΥ 1948-1949,ΡΙΤΣΟΣ ΓΙΑΝΝΗΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-559-2,Πολιτική & Κοινωνία,Φλεβάρης 2026,56,10.00€ , 9.00€
Από τα στέκια της νιότης στις σελίδες της Iστορίας,ΣΤΑΜΑΤΟΠΟΥΛΟΣ Γ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-558-5,Ελληνική Λογοτεχνία,Φλεβάρης 2026,152,12.00€ , 10.80€
Ρούμελη – Άγραφα. Στα βήματα του Δημοκρατικού Στρατού Ελλάδας (Ιστορικός – ταξιδιωτικός οδηγός),ΣΥΛΛΟΓΙΚΟ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-557-8,Πολιτική & Κοινωνία,Γενάρης 2026,168,17.00€ , 15.30€
Το κόκκινο Αερόστατο | Τεύχος 11$ ΝΕΑ ΠΕΡΙΟΔΟΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,,Παιδική & Νεανική Βιβλιοθήκη,Γενάρης 2026,36,2.50€,
1914-1917. Ο «εθνικός» διχασμός στο φως της ταξικής πάλης,ΜΑΪΛΗΣ Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-555-4,Πολιτική & Κοινωνία,Γενάρης 2026,208,11.00€ , 9.90€
Ψευδομάρτυρας,ΜΑΤΟΥΖΟ Χ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-554-7,Πολιτική & Κοινωνία,Γενάρης 2026,344,17.00€ , 15.30€
VLADIMIR FEMELIDI [ΒΛΑΔΙΜΗΡΟΣ ΘΕΜΕΛΙΔΗΣ] 1905-1931. Jubilee Symphony [Επετειακή Συμφωνία] 1927 (Υπό έκδοση),ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-556-1,Πολιτική & Κοινωνία,Γενάρης 2026,200,28.00€ , 25.20€
Το αντιδραστικό Σύµφωνο της ΕΕ για τη Μετανάστευση και το Άσυλο και η υλοποίησή του στην Ελλάδα,∆ιατµηµατική Επιτροπή της ΚΕ του ΚΚΕ για τα ∆ικαιώµατα των Μεταναστών και Προσφύγων,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-551-6,Πολιτική & Κοινωνία,Δεκέμβρης 2025,120,10.00€ , 9.00€
